"token ID";"tokens";"POStags";"lemmas";"namedEntities"
"t29064";"«";"$(";"«";""
"t29065";"Die";"ART";"d";""
"t29066";"Perücken";"NN";"Perücke";""
"t29067";"wurden";"VAFIN";"werden";""
"t29068";"getauscht";"VVPP";"tauschen";""
"t29069";".";"$.";".";""
"t29070";"Während";"APPR";"während";""
"t29071";"dieser";"PDAT";"dies";""
"t29072";"Präliminarien";"NN";"Präliminarien";""
"t29073";"saß";"VVFIN";"sitzen";""
"t29074";"Passepartout";"NN";"Passepartout";""
"t29075";"wie";"KOKOM";"wie";""
"t29076";"auf";"APPR";"auf";""
"t29077";"glühenden";"ADJA";"glühend";""
"t29078";"Kohlen";"NN";"Kohle|Kohlen";""
"t29079";",";"$,";",";""
"t29080";"denn";"KON";"denn";""
"t29081";"der";"ART";"d";""
"t29082";"Zeiger";"NN";"Zeiger";""
"t29083";"auf";"APPR";"auf";""
"t29084";"dem";"ART";"d";""
"t29085";"Zifferblatte";"NN";"<unknown>";""
"t29086";"der";"ART";"d";""
"t29087";"großen";"ADJA";"groß";""
"t29088";"Uhr";"NN";"Uhr";""
"t29089";"des";"ART";"d";""
"t29090";"Gerichtssaales";"NN";"Gerichtssaal";""
"t29091";"schien";"VVFIN";"scheinen";""
"t29092";"ihm";"PPER";"er";""
"t29093";"fürchterlich";"ADJD";"fürchterlich";""
"t29094";"schnell";"ADJD";"schnell";""
"t29095";"vorzurücken";"VVIZU";"vorrücken";""
"t29096";".";"$.";".";""
"t29097";"»";"$(";"»";""
"t29098";"Die";"ART";"d";""
"t29099";"erste";"ADJA";"erst";""
"t29100";"Sache";"NN";"Sache";""
"t29101";"«";"$(";"«";""
"t29102";",";"$,";",";""
"t29103";"wiederholte";"VVFIN";"wiederholen";""
"t29104";"der";"ART";"d";""
"t29105";"Richter";"NE";"Richter";"B-PER"
"t29106";"Obadiah";"NE";"<unknown>";"B-PER"
"t29107";".";"$.";".";""
"t29108";"»";"$(";"»";""
"t29109";"Phileas";"NE";"Philea";"B-PER"
"t29110";"Fogg";"NE";"<unknown>";"I-PER"
"t29111";"?";"$.";"?";""
"t29112";"«";"$(";"«";""
"t29113";"sagte";"VVFIN";"sagen";""
"t29114";"der";"ART";"d";""
"t29115";"Gerichtsschreiber";"NN";"Gerichtsschreiber";""
"t29116";"Oysterpuff";"NN";"<unknown>";""
"t29117";".";"$.";".";""
"t29118";"»";"$(";"»";""
"t29119";"Hier";"ADV";"hier";""
"t29120";"bin";"VAFIN";"sein";""
"t29121";"ich";"PPER";"ich";""
"t29122";"«";"$(";"«";""
"t29123";",";"$,";",";""
"t29124";"erwiderte";"VVFIN";"erwidern";""
"t29125";"Herr";"NN";"Herr";""
"t29126";"Fogg";"NE";"<unknown>";"B-PER"
"t29127";".";"$.";".";""
"t29128";"»";"$(";"»";""
"t29129";"Passepartout";"NN";"Passepartout";""
"t29130";"?";"$.";"?";""
"t29131";"«";"$(";"«";""
"t29132";"»";"$(";"»";""
"t29133";"Hier";"ADV";"hier";""
"t29134";"!";"$.";"!";""
"t29135";"«";"$(";"«";""
"t29136";"»";"$(";"»";""
"t29137";"Gut";"NN";"Gut";""
"t29138";"!";"$.";"!";""
"t29139";"«";"$(";"«";""
"t29140";"sagte";"VVFIN";"sagen";""
"t29141";"der";"ART";"d";""
"t29142";"Richter";"NN";"Richter";""
"t29143";".";"$.";".";""
"t29144";"»";"$(";"»";""
"t29145";"Seit";"APPR";"seit";""
"t29146";"zwei";"CARD";"zwei";""
"t29147";"Tagen";"NN";"Tag";""
"t29148";"erwartete";"VVFIN";"erwarten";""
"t29149";"man";"PIS";"man";""
"t29150";"Euch";"PRF";"ihr";""
"t29151";"bei";"APPR";"bei";""
"t29152";"jedem";"PIAT";"jed";""
"t29153";"Zuge";"NN";"Zug";""
"t29154";",";"$,";",";""
"t29155";"der";"PRELS";"d";""
"t29156";"von";"APPR";"von";""
"t29157";"Bombay";"NE";"Bombay";"B-GPE"
"t29158";"kam";"VVFIN";"kommen";""
"t29159";".";"$.";".";""
"t29160";"«";"$(";"«";""
"t29161";"»";"$(";"»";""
"t29162";"Aber";"KON";"aber";""
